AddressLine1,AddressLine2,AddressLine3,AddressLine4,BusinessName,BusinessType,BusinessTypeID,FHRSID,Lat,Lon,LABusinessID,LACode,LAEmail,LAName,LAWebsite,NewRatingPending,PostCode,RatingDate,Rating,ConfidenceInManagement,Hygiene,Structural,ExtractDate
16 Market Place,Padstow,Cornwall,,Embers,Restaurant/Cafe/Canteen,1,865180,50.541302,-4.939088,CP16_000053,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL28 8AL,4/13/2016,5,5,5,5,11/2/2016
The Flat Above,1A Barbican Parade,Barbican Road,East Looe,Emiles Fish And Chip Restaurant,Restaurant/Cafe/Canteen,1,594604,50.359771,-4.448876,E2_04_00500_MIXED,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL13 1EZ,7/15/2016,4,,,,11/2/2016
Boating World,Markwell,Landrake,Saltash,Emma's Little Gaff,Restaurant/Cafe/Canteen,1,851719,50.408034,-4.290139,CP16_000061,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL12 5ES,3/1/2016,4,5,5,10,11/2/2016
Emperors Garden,2 Chapel Street,Redruth,Cornwall,Emperor's Garden,Restaurant/Cafe/Canteen,1,455264,50.233558,-5.230672,W2_00006421,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR15 2BY,10/6/2015,3,10,10,10,11/2/2016
67 Killigrew Street,Falmouth,Cornwall,,Engleton Guesthouse,Hotel/bed & breakfast/guest house,7842,540236,50.153197,-5.07472,C1_PI_000007661,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 3PR,12/4/2012,3,10,10,10,11/2/2016
Enjoy Vegan Food,White River Place,St Austell,Cornwall,Enjoy Vegan Food - Home Caterer,Retailers - other,4613,865948,50.337395,-4.793643,CP16_000129,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL25 5AZ,4/26/2016,5,5,5,5,11/2/2016
Epiphany House,Kenwyn,Truro,Cornwall,Epiphany Trust (Truro),Restaurant/Cafe/Canteen,1,486881,50.270944,-5.062093,C1_PI_000017855,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR1 3DR,10/3/2016,5,5,5,5,11/2/2016
Qumran Ltd,Eshcol House,12 Clifton Terrace,New Road,Eshcol House Nursing Home,Hospitals/Childcare/Caring Premises,5,438890,50.17975,-4.976501,CP11_000241,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR2 5HR,9/23/2016,5,5,5,5,11/2/2016
Environment And Sustainability Inst,Penryn Campus,Penryn,Cornwall,ESI Cafe,Restaurant/Cafe/Canteen,1,571199,,,CP13_000229,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR10 9FE,2/17/2015,5,5,0,0,11/2/2016
Esplanade Road,Newquay,Cornwall,,Esplanade Hotel,Hotel/bed & breakfast/guest house,7842,594563,50.41203,-5.103508,C2_234714,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR7 1PS,6/3/2015,4,5,5,10,11/2/2016
39 Killigrew Street,Falmouth,Cornwall,,Espressini,Restaurant/Cafe/Canteen,1,642031,50.153902,-5.073253,CP11_000950,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 3PW,3/11/2016,1,20,10,15,11/2/2016
,,,,Essen-Street Deli,Mobile caterer,7846,900403,,,CP16_000151,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,6/1/2016,5,5,5,5,11/2/2016
Alexandra Road,Newquay,Cornwall,,Estrella Morada Bar De Tapas,Restaurant/Cafe/Canteen,1,590237,50.425876,-5.053509,CP12_000438,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR7 3NB,2/23/2015,5,5,5,5,11/2/2016
Wheal Rose,Scorrier,Redruth,Cornwall,Etheringtons Farm Shop,Retailers - other,4613,655176,50.261837,-5.205208,CP14_000117,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR16 5DF,10/8/2015,5,0,5,0,11/2/2016
22 Downs View,Flexbury,Bude,Cornwall,Eventide Residential Home,Hospitals/Childcare/Caring Premises,5,402399,50.835545,-4.546585,E1_4297,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,EX23 8RQ,6/29/2016,5,5,5,5,11/2/2016
Barras Street,Liskeard,Cornwall,,Everest Tandoori,Restaurant/Cafe/Canteen,1,853284,50.454899,-4.46465,CP16_000164,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL14 3HW,3/2/2016,3,10,5,10,11/2/2016
West Pentire Road,Crantock,Newquay,Cornwall,Fairbank Hotel,Hotel/bed & breakfast/guest house,7842,402072,50.401535,-5.11684,C2_206221,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR8 5SA,3/30/2015,5,5,5,0,11/2/2016
Fairfield Country Rest Home,Prustacott Road,Launcells,Bude,Fairfields Country Rest Home,Hospitals/Childcare/Caring Premises,5,402369,50.826278,-4.479522,E1_1913,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,EX23 9NH,8/4/2016,5,0,5,5,11/2/2016
Roskear,Camborne,Cornwall,,Fairholme Nursing Home,Hospitals/Childcare/Caring Premises,5,441082,50.21903229,-5.287343979,W2_00005684,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR14 8DN,8/11/2015,5,0,0,0,11/2/2016
Mobile Trading Site,The Leats,Truro,Cornwall,Fal Falafel,Mobile caterer,7846,783804,50.263846,-5.054241,CP15_000788,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR1 3AG,9/16/2013,5,5,5,5,11/2/2016
,,,,Fal Falafel,Mobile caterer,7846,587005,,,W2_07_00105_CP,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,10/3/2016,5,5,5,5,11/2/2016
Fal,Truro College,College Road,Gloweth,Fal Kitchen,School/college/university,7845,559505,50.26281,-5.100794,CP11_001128,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR1 3XX,12/8/2014,5,5,5,5,11/2/2016
Fal Fish Ltd,15 Cardrew Industrial Estate,Cardrew Way,Redruth,Falfish,Manufacturers/packers,7839,633849,50.244004,-5.220914,W2_00024881,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR15 1SS,2/11/2014,5,0,0,0,11/2/2016
Falmouth Community School,Trescobeas Road,Falmouth,Cornwall,Falmouth Academy Trust,Restaurant/Cafe/Canteen,1,905981,50.157977,-5.095233,CP16_000637,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 4LH,9/20/2016,3,10,10,10,11/2/2016
53 Castle Street,Truro,Cornwall,,Falmouth Bay Seafood Cafe,Restaurant/Cafe/Canteen,1,579387,50.264471,-5.055432,CP13_000580,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR1 3AF,2/3/2015,5,5,5,5,11/2/2016
,,,,Falmouth Dairy,Retailers - other,4613,552420,,,W2_00002118,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,5/6/2015,5,5,5,5,11/2/2016
25 Woodlane,Falmouth,Cornwall,,Falmouth Exeter Plus,Hospitals/Childcare/Caring Premises,5,577993,50.149188,-5.070865,C1_PI_000014224,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 4RH,9/12/2016,5,5,5,5,11/2/2016
University Campus Penryn,Penryn Campus,Penryn,Cornwall,Falmouth Exeter Plus - Tremough Campus,School/college/university,7845,402765,,,W2_00026181,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR10 9FE,2/17/2015,5,5,5,5,11/2/2016
University College Falmouth,Woodlane,Falmouth,Cornwall,Falmouth Exeter Plus - University College Falmouth,School/college/university,7845,619495,50.149188,-5.070865,C1_PI_000014125,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 4RH,3/8/2016,5,0,0,5,11/2/2016
29 Arwenack Street,Falmouth,Cornwall,,Falmouth Fish And Seafoods,Retailers - other,4613,682724,50.152716,-5.066723,CP14_000694,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 3JE,2/29/2016,5,5,5,5,11/2/2016
Falmouth Garages Ltd,9 Church Road,Penryn,Cornwall,Falmouth Garages,Retailers - other,4613,438846,50.170164,-5.103766,C1_PI_000049669,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR10 8DA,7/8/2015,4,5,10,5,11/2/2016
Swanpool Road,Falmouth,Cornwall,,Falmouth Golf Club,Pub/bar/nightclub,7843,576237,50.139598,-5.087131,C1_PI_000049722,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 5BQ,11/10/2015,5,,,,11/2/2016
1 Cliff Road,Falmouth,Cornwall,,Falmouth Hotel,Hotel/bed & breakfast/guest house,7842,438800,50.15148,-5.067847,C1_PI_000005453,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 3HN,2/25/2016,5,0,0,5,11/2/2016
Killigrew Street,Falmouth,Cornwall,,Falmouth Methodist Church,Other catering premises,7841,456200,50.155688,-5.071366,CP11_000162,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 3PG,7/7/2015,5,5,5,5,11/2/2016
Falmouth Primary School Infant Site,Jubilee Road,Falmouth,Cornwall,Falmouth Primary (Infant) School,School/college/university,7845,408065,50.156804,-5.078452,C1_PI_000012250,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 2BB,10/6/2016,5,5,5,5,11/2/2016
Falmouth Rugby Club,Recreation Ground,Dracaena Avenue,Falmouth,Falmouth R F C,Pub/bar/nightclub,7843,573912,50.153466,-5.081836,C1_PI_000006004,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 2EQ,7/1/2015,3,10,5,10,11/2/2016
FC Falmouth Town Social Club,Bickland Hill,Falmouth,Cornwall,Falmouth Town Afc,Pub/bar/nightclub,7843,699427,50.156338,-5.099678,C1_PI_000004345,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 4PB,2/5/2016,3,10,10,10,11/2/2016
The Falmouth Townhouse,3 Grove Place,Falmouth,Cornwall,Falmouth Townhouse,Hotel/bed & breakfast/guest house,7842,508129,50.150952,-5.064356,C1_PI_000006911,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 4AL,2/11/2014,4,5,5,10,11/2/2016
3 Trelowarren Street,Camborne,Cornwall,,Family Shopper Camborne,Retailers - other,4613,732224,50.214318,-5.298376,CP14_001062,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR14 8AD,1/15/2015,5,5,5,5,11/2/2016
The Famous Barrel,St Thomas Street,Penryn,Cornwall,Famous Barrel,Pub/bar/nightclub,7843,516131,50.166321,-5.101122,C1_PI_000002727,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR10 8JP,2/13/2013,5,5,5,5,11/2/2016
Lower Lydcott Farm,Widegates,Looe,Cornwall,Farm Shop At Staceys Farm Meats,Retailers - other,4613,705791,50.395477,-4.402073,CP12_000434,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL13 1QJ,11/25/2015,3,5,10,10,11/2/2016
The Farmers Arms,Church Street,St Columb Minor,Newquay,Farmers Arms,Pub/bar/nightclub,7843,848943,50.421044,-5.042919,CP15_001015,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR7 3EZ,2/11/2016,5,5,5,5,11/2/2016
The Old Vineyard,Porthallow,St Keverne,Helston,Fat Apples Cafe,Restaurant/Cafe/Canteen,1,441067,50.062607,-5.077458,CP12_000941,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR12 6QH,2/26/2015,5,5,5,5,11/2/2016
1 Lostwithiel Street,Fowey,Cornwall,,Fat Cap And Brisket,Restaurant/Cafe/Canteen,1,897754,50.334876,-4.635461,CP16_000083,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL23 1BD,7/5/2016,4,5,5,10,11/2/2016
Fat Fish,The Wharf House,Wharf Road,Penzance,Fat Fish Cafe,Restaurant/Cafe/Canteen,1,402647,50.120779,-5.533153,W1_10_11255_COM,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR18 2JY,3/19/2015,5,5,5,5,11/2/2016
,,,,Fat Hen - Home Caterer,Other catering premises,7841,623926,,,W1_10_12095_COM,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,10/17/2014,5,5,5,5,11/2/2016
Fat Jacks Ice Cream Parlour And San,The Lizard,Helston,Cornwall,Fat Jacks,Restaurant/Cafe/Canteen,1,829437,49.968107,-5.203811,CP15_001066,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR12 7NJ,11/6/2015,5,5,5,5,11/2/2016
Trevena,St Anns Chapel,Gunnislake,Cornwall,Fatty's Burger Van,Mobile caterer,7846,848954,50.516208,-4.244997,CP16_000022,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL18 9HW,2/16/2016,5,5,5,5,11/2/2016
,,,,Fawkes Event Catering,Other catering premises,7841,780599,,,CP15_000234,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,7/14/2015,5,5,5,5,11/2/2016
,,,,Feast On Chips,Mobile caterer,7846,763250,,,CP15_000338,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,4/29/2015,4,0,5,10,11/2/2016
Springfield House,Trewint Lane,Rock,Wadebridge,Fee Turner Catering,Other catering premises,7841,459858,50.550053,-4.906596,E1_61611,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL27 6LU,4/13/2016,5,0,0,0,11/2/2016
Flambards Theme Park,Clodgey Lane,Helston,Cornwall,Ferdis Burger Bar,Restaurant/Cafe/Canteen,1,578024,50.09212,-5.258367,CP13_000818,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR13 0QA,7/23/2015,5,5,5,0,11/2/2016
Fernleigh House Residential Home,Fore Street,Albaston,Gunnislake,Fernleigh House,Hospitals/Childcare/Caring Premises,5,502496,50.512136,-4.224788,E2_04_00662_MIXED,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL18 9AJ,8/5/2015,5,5,5,5,11/2/2016
70 Clifden Road,St Austell,Cornwall,,Fernleys Cafe,Takeaway/sandwich shop,7844,609780,50.340034,-4.773643,C2_204709,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL25 4NX,9/21/2016,4,5,5,10,11/2/2016
19 Riverside Crescent,Newquay,Cornwall,,Fernpit Cafe,Restaurant/Cafe/Canteen,1,415127,50.410333,-5.112139,C2_221026,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR7 1PJ,9/15/2016,4,10,5,5,11/2/2016
The Ferry Boat Inn,Helford Passage,Falmouth,Cornwall,Ferryboat Inn,Pub/bar/nightclub,7843,528309,50.100436,-5.129198,W2_00003753,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 5LB,1/14/2016,3,10,10,5,11/2/2016
8 Trewellard Road,Trewellard,Pendeen,Penzance,Field House,Hotel/bed & breakfast/guest house,7842,655231,50.145648,-5.6724,W1_10_11423_COM,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR19 7ST,3/30/2016,5,0,0,0,11/2/2016
Portuan Road,West Looe,Looe,Cornwall,Fieldhead Hotel,Hotel/bed & breakfast/guest house,7842,510820,50.349001,-4.452497,E2_04_00169_MIXED,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL13 2DR,9/29/2014,2,10,10,15,11/2/2016
On The Beach,Watergate Bay,Newquay,Cornwall,Fifteen Cornwall,Restaurant/Cafe/Canteen,1,415131,50.444252,-5.041916,C2_250047,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR8 4AA,11/2/2015,5,5,5,5,11/2/2016
Unit 11  Lemon Street Market,Lemon Street,Truro,Cornwall,Fig,Restaurant/Cafe/Canteen,1,571219,50.262098,-5.052305,CP13_000755,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR1 2QD,1/9/2015,5,5,5,5,11/2/2016
,,,,Fine Dining - Home Caterer,Other catering premises,7841,586928,,,CP12_001250,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,8/1/2016,5,5,0,0,11/2/2016
Crafthole,Torpoint,Cornwall,,Finnygook Inn,Pub/bar/nightclub,7843,732227,50.365321,-4.29874,CP14_001095,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL11 3BQ,1/16/2015,5,5,5,5,11/2/2016
,,,,Fiona's Cafe,Mobile caterer,7846,667410,,,CP14_000558,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,6/16/2016,5,5,5,5,11/2/2016
,,,,Fiona's Snack Bar,Mobile caterer,7846,402770,,,W2_00029717,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,9/1/2015,5,5,5,5,11/2/2016
,,,,Fire Dance Pizza,Mobile caterer,7846,743738,,,CP15_000249,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,2/9/2015,5,5,5,5,11/2/2016
Higher Fore Street,Marazion,Cornwall,,Fire Engine Inn,Pub/bar/nightclub,7843,409760,50.125098,-5.464257,CP12_000462,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR17 0BB,6/23/2016,5,5,5,5,11/2/2016
27 Fore Street,St Ives,Cornwall,,Fire House Bar And Grill,Restaurant/Cafe/Canteen,1,402673,50.213154,-5.480254,W1_10_11978_COM,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR26 1AB,4/21/2015,3,5,10,10,11/2/2016
6 Market Strand,Falmouth,Cornwall,,Fire Kitchen,Restaurant/Cafe/Canteen,1,733937,50.156272,-5.071347,CP14_000572,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 3DB,1/15/2015,5,0,0,0,11/2/2016
Cuckoo's Nest Restaurant,5 - 7 Southgate Street,Launceston,Cornwall,Firebrand Bar And Restaurant,Restaurant/Cafe/Canteen,1,736228,50.63677,-4.359922,CP14_001000,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL15 9DP,10/5/2016,4,5,5,10,11/2/2016
First And Last Inn,Alverton Road,Penzance,Cornwall,First & Last Inn,Pub/bar/nightclub,7843,679519,50.117882,-5.54202,CP14_000388,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR18 4TN,2/5/2016,3,10,10,10,11/2/2016
The First And Last Inn,Sennen,Penzance,Cornwall,First And Last Inn,Pub/bar/nightclub,7843,402584,50.071472,-5.694653,W1_10_10147_COM,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR19 7AD,5/5/2015,4,10,5,5,11/2/2016
White Acres Holiday Park,Whitecross,Newquay,Cornwall,First Bite Takeaway And Cafe,Takeaway/sandwich shop,7844,438880,50.399513,-4.970454,C2_253835,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR8 4LW,6/9/2015,5,5,5,5,11/2/2016
3 Dracaena Avenue,Falmouth,Cornwall,,First Friends Nursery,Hospitals/Childcare/Caring Premises,5,571205,50.153439,-5.081204,CP13_000649,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 2EG,7/26/2016,5,5,5,5,11/2/2016
Penzance Lawn Tennis Club,Tennis Club,Penlee Park,Penzance,First Service Cafe,Pub/bar/nightclub,7843,439128,50.117001,-5.540206,W1_10_11077_COM,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR18 4HE,7/13/2015,5,5,5,5,11/2/2016
20 Dean Street,Liskeard,Cornwall,,First Steps Pre School,Hospitals/Childcare/Caring Premises,5,505041,50.45369,-4.466517,E2_06_00121_MIXED,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL14 4AA,11/5/2015,5,5,5,5,11/2/2016
First Steps Childcare Centre,Porth Bean Road,Newquay,Cornwall,"First Steps Pre-School, St. Columb Minor C. P. School",Hospitals/Childcare/Caring Premises,5,481056,50.418448,-5.048272,C2_245198,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR7 3JF,11/4/2014,5,5,5,5,11/2/2016
Treveth,Churchtown,Porthcurno,Penzance,Fish And Bubbles,Mobile caterer,7846,900570,50.043058,-5.654119,CP16_000445,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR19 6JU,7/26/2016,5,5,5,5,11/2/2016
Fishermans Arms Inn,Fore Street,Newlyn,Penzance,Fishermans Arms,Pub/bar/nightclub,7843,726790,50.101628,-5.546639,W1_10_10118_COM,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR18 5JR,6/14/2016,3,5,10,10,11/2/2016
Fore Street,Golant,Fowey,Cornwall,Fishermans Arms,Pub/bar/nightclub,7843,580103,50.362487,-4.641168,C2_224512,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL23 1LN,10/4/2016,5,5,5,5,11/2/2016
Exchequer Quay,Commercial Road,Penryn,Cornwall,Fishermans Cafe,Restaurant/Cafe/Canteen,1,455197,50.166997,-5.097707,CP12_000206,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR10 8LS,5/6/2015,5,5,5,5,11/2/2016
Unit 2,International Surfing Centre,Headland Road,Newquay,Fistral Beach Cafe/Bar,Restaurant/Cafe/Canteen,1,467871,50.418892,-5.097171,C2_246193,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR7 1HY,9/12/2016,1,20,10,15,11/2/2016
Fistral Beach Hotel And Spa,Esplanade Road,Newquay,Cornwall,Fistral Beach Hotel,Hotel/bed & breakfast/guest house,7842,594598,50.412159,-5.106445,CP13_001262,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR7 1PT,7/14/2015,4,5,5,10,11/2/2016
Unit 7,International Surfing Centre,Headland Road,Newquay,Fistral Beach Pasty Shack,Takeaway/sandwich shop,7844,809232,50.418892,-5.09717,CP15_000733,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR7 1HY,9/24/2015,4,10,5,5,11/2/2016
2 Beacon Road,Newquay,Cornwall,,Fistral Chef,Restaurant/Cafe/Canteen,1,528364,50.417834,-5.089626,C2_232070,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR7 1HH,9/14/2016,4,5,5,10,11/2/2016
Unit 5,International Surfing Centre,Headland Road,Newquay,Fistral Fish House,Restaurant/Cafe/Canteen,1,712265,50.418892,-5.097171,CP14_000478,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR7 1HY,9/12/2016,5,5,5,5,11/2/2016
19 Cliff Road,Newquay,Cornwall,,Fistral Surf Company,Restaurant/Cafe/Canteen,1,665720,50.415734,-5.076185,CP14_000293,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR7 2NE,12/10/2014,5,5,5,5,11/2/2016
Fit And Fun Kids,Cornwall College,Trevenson Road,Pool,Fit N Fun Kids,Hospitals/Childcare/Caring Premises,5,807014,50.226849,-5.27585,CP15_000236,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR15 3RD,9/22/2015,5,5,5,5,11/2/2016
Fit N Fun Kids Creche,Fourways Youth Centre,Station Road,St Blazey,Fit N Fun Kids,Hospitals/Childcare/Caring Premises,5,896187,50.359899,-4.714422,CP15_000245,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL24 2ND,6/14/2016,4,10,5,5,11/2/2016
Lighthouse Childrens Centre,Jubilee Road,Falmouth,Cornwall,Fit N Fun Kids,Hospitals/Childcare/Caring Premises,5,772827,50.156804,-5.078452,CP15_000239,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 2BB,6/22/2015,5,5,5,5,11/2/2016
Fit N Fun Kids,West Key House,10 Empire Way,Tregoniggie Industrial Estate,Fit 'N' Fun Kids,Hospitals/Childcare/Caring Premises,5,445714,50.153736,-5.095393,C1_PI_000012739,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR11 4SN,7/6/2016,5,5,5,5,11/2/2016
Trago Mills,Two Waters Foot,Liskeard,Cornwall,Fit To Bust,Takeaway/sandwich shop,7844,485560,50.454832,-4.568327,E2_06_00133_MIXED,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL14 6HY,5/15/2014,5,5,0,5,11/2/2016
Porthallow,St Keverne,Helston,Cornwall,Five Pilchards,Pub/bar/nightclub,7843,441080,50.066997,-5.07985,W2_00000770,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR12 6PP,9/2/2015,4,5,5,10,11/2/2016
Flambards Theme Park,Clodgey Lane,Helston,Cornwall,Flambards One To Eleven,Restaurant/Cafe/Canteen,1,781801,50.09212,-5.258367,CP15_000772,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,TR13 0QA,7/23/2015,4,10,5,0,11/2/2016
32 Fore Street,Camelford,Cornwall,,Flames,Takeaway/sandwich shop,7844,457607,50.621486,-4.679653,CP12_001124,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,PL32 9PG,8/13/2015,3,10,10,10,11/2/2016
,,,,Flaming Helz,Mobile caterer,7846,769761,,,CP15_000276,705,publicprotection@cornwall.gov.uk,Cornwall,http://www.cornwall.gov.uk,FALSE,,5/27/2015,5,5,0,0,11/2/2016
